Train [5][1000/1251]	Time 0.374 (0.379)	Data 0.001 (0.001)	Loss 3.6026 (3.5204)	Top-1 acc 38.086 (40.100)	Top-5 acc 65.430 (65.364)	lr 0.38390
Train [5][1100/1251]	Time 0.366 (0.378)	Data 0.001 (0.001)	Loss 3.5219 (3.5150)	Top-1 acc 41.113 (40.217)	Top-5 acc 64.648 (65.462)	lr 0.39029
Train [5][1200/1251]	Time 0.379 (0.378)	Data 0.001 (0.001)	Loss 3.4380 (3.5084)	Top-1 acc 42.676 (40.356)	Top-5 acc 66.602 (65.594)	lr 0.39668
==========Valid [5/120]	loss 2.580	top-1 acc 43.554 (43.554)	top-5 acc 70.164	Train top-1 40.419	top-5 65.650
Train [6][0/1251]	Time 0.347 (0.347)	Data 0.001 (0.001)	Loss 3.5400 (3.5400)	Top-1 acc 42.480 (42.480)	Top-5 acc 64.258 (64.258)	lr 0.40000
Train [6][100/1251]	Time 0.374 (0.376)	Data 0.001 (0.001)	Loss 3.3233 (3.4240)	Top-1 acc 42.285 (41.992)	Top-5 acc 69.336 (67.167)	lr 0.40000
Train [6][200/1251]	Time 0.376 (0.376)	Data 0.001 (0.001)	Loss 3.3507 (3.4190)	Top-1 acc 44.141 (42.209)	Top-5 acc 68.457 (67.321)	lr 0.40000
Train [6][300/1251]	Time 0.366 (0.376)	Data 0.001 (0.001)	Loss 3.2497 (3.4116)	Top-1 acc 44.434 (42.334)	Top-5 acc 71.973 (67.522)	lr 0.40000
Train [6][400/1251]	Time 0.389 (0.376)	Data 0.001 (0.001)	Loss 3.3829 (3.4064)	Top-1 acc 43.652 (42.469)	Top-5 acc 67.480 (67.654)	lr 0.39999
Train [6][500/1251]	Time 0.377 (0.377)	Data 0.001 (0.001)	Loss 3.2823 (3.4004)	Top-1 acc 45.410 (42.598)	Top-5 acc 71.387 (67.759)	lr 0.39999
Train [6][600/1251]	Time 0.365 (0.376)	Data 0.001 (0.001)	Loss 3.4331 (3.3948)	Top-1 acc 42.773 (42.714)	Top-5 acc 65.234 (67.878)	lr 0.39998
Train [6][700/1251]	Time 0.368 (0.376)	Data 0.002 (0.001)	Loss 3.3537 (3.3877)	Top-1 acc 45.312 (42.869)	Top-5 acc 68.652 (68.017)	lr 0.39998
Train [6][800/1251]	Time 0.365 (0.377)	Data 0.001 (0.001)	Loss 3.2773 (3.3823)	Top-1 acc 44.824 (42.986)	Top-5 acc 70.312 (68.141)	lr 0.39997
Train [6][900/1251]	Time 0.375 (0.376)	Data 0.001 (0.001)	Loss 3.1951 (3.3751)	Top-1 acc 46.484 (43.147)	Top-5 acc 70.996 (68.292)	lr 0.39996
Train [6][1000/1251]	Time 0.367 (0.376)	Data 0.001 (0.001)	Loss 3.4029 (3.3686)	Top-1 acc 44.238 (43.284)	Top-5 acc 67.383 (68.415)	lr 0.39995
Train [6][1100/1251]	Time 0.382 (0.376)	Data 0.001 (0.001)	Loss 3.2896 (3.3623)	Top-1 acc 45.898 (43.429)	Top-5 acc 70.020 (68.527)	lr 0.39994
Train [6][1200/1251]	Time 0.371 (0.376)	Data 0.001 (0.001)	Loss 3.2994 (3.3562)	Top-1 acc 42.969 (43.560)	Top-5 acc 69.238 (68.654)	lr 0.39993
==========Valid [6/120]	loss 2.378	top-1 acc 47.452 (47.452)	top-5 acc 73.530	Train top-1 43.620	top-5 68.700
Train [7][0/1251]	Time 0.428 (0.428)	Data 0.001 (0.001)	Loss 3.2677 (3.2677)	Top-1 acc 43.164 (43.164)	Top-5 acc 71.387 (71.387)	lr 0.39993
Train [7][100/1251]	Time 0.379 (0.376)	Data 0.001 (0.001)	Loss 3.2773 (3.2787)	Top-1 acc 46.387 (45.066)	Top-5 acc 69.629 (70.342)	lr 0.39991
Train [7][200/1251]	Time 0.383 (0.375)	Data 0.001 (0.001)	Loss 3.2337 (3.2738)	Top-1 acc 46.094 (45.289)	Top-5 acc 69.824 (70.355)	lr 0.39990
Train [7][300/1251]	Time 0.369 (0.375)	Data 0.001 (0.001)	Loss 3.2471 (3.2707)	Top-1 acc 46.289 (45.423)	Top-5 acc 71.289 (70.413)	lr 0.39989
Train [7][400/1251]	Time 0.380 (0.375)	Data 0.001 (0.001)	Loss 3.3101 (3.2667)	Top-1 acc 45.215 (45.534)	Top-5 acc 70.312 (70.476)	lr 0.39987
Train [7][500/1251]	Time 0.371 (0.375)	Data 0.001 (0.001)	Loss 3.1972 (3.2622)	Top-1 acc 47.461 (45.667)	Top-5 acc 72.266 (70.535)	lr 0.39985
Train [7][600/1251]	Time 0.371 (0.375)	Data 0.001 (0.001)	Loss 3.2562 (3.2595)	Top-1 acc 46.191 (45.705)	Top-5 acc 71.484 (70.592)	lr 0.39984
Train [7][700/1251]	Time 0.370 (0.375)	Data 0.001 (0.001)	Loss 3.2116 (3.2550)	Top-1 acc 46.875 (45.810)	Top-5 acc 71.582 (70.663)	lr 0.39982
Train [7][800/1251]	Time 0.368 (0.375)	Data 0.001 (0.001)	Loss 3.1920 (3.2518)	Top-1 acc 47.461 (45.885)	Top-5 acc 72.949 (70.729)	lr 0.39980
Train [7][900/1251]	Time 0.380 (0.375)	Data 0.001 (0.001)	Loss 3.1060 (3.2471)	Top-1 acc 48.242 (45.993)	Top-5 acc 74.707 (70.807)	lr 0.39978
Train [7][1000/1251]	Time 0.383 (0.375)	Data 0.001 (0.001)	Loss 3.1994 (3.2437)	Top-1 acc 48.047 (46.079)	Top-5 acc 71.094 (70.861)	lr 0.39976
Train [7][1100/1251]	Time 0.367 (0.375)	Data 0.001 (0.001)	Loss 3.2050 (3.2402)	Top-1 acc 49.023 (46.149)	Top-5 acc 71.973 (70.918)	lr 0.39974
Train [7][1200/1251]	Time 0.373 (0.375)	Data 0.001 (0.001)	Loss 3.1792 (3.2359)	Top-1 acc 46.875 (46.237)	Top-5 acc 72.656 (71.000)	lr 0.39971
==========Valid [7/120]	loss 2.301	top-1 acc 48.908 (48.908)	top-5 acc 74.852	Train top-1 46.281	top-5 71.027
Train [8][0/1251]	Time 0.442 (0.442)	Data 0.002 (0.002)	Loss 3.1298 (3.1298)	Top-1 acc 47.949 (47.949)	Top-5 acc 73.828 (73.828)	lr 0.39970
Train [8][100/1251]	Time 0.382 (0.375)	Data 0.001 (0.001)	Loss 3.0386 (3.1796)	Top-1 acc 50.879 (47.400)	Top-5 acc 73.340 (72.175)	lr 0.39968
Train [8][200/1251]	Time 0.380 (0.374)	Data 0.001 (0.001)	Loss 3.0349 (3.1792)	Top-1 acc 50.684 (47.446)	Top-5 acc 75.293 (72.171)	lr 0.39965
Train [8][300/1251]	Time 0.373 (0.374)	Data 0.001 (0.001)	Loss 3.1994 (3.1776)	Top-1 acc 47.852 (47.559)	Top-5 acc 70.703 (72.182)	lr 0.39963
Train [8][400/1251]	Time 0.364 (0.374)	Data 0.001 (0.001)	Loss 3.2173 (3.1726)	Top-1 acc 48.438 (47.609)	Top-5 acc 72.363 (72.280)	lr 0.39960
Train [8][500/1251]	Time 0.385 (0.374)	Data 0.001 (0.001)	Loss 3.1262 (3.1704)	Top-1 acc 48.828 (47.644)	Top-5 acc 71.777 (72.302)	lr 0.39957
Train [8][600/1251]	Time 0.373 (0.374)	Data 0.001 (0.001)	Loss 3.1487 (3.1687)	Top-1 acc 46.582 (47.685)	Top-5 acc 72.266 (72.329)	lr 0.39954
Train [8][700/1251]	Time 0.380 (0.375)	Data 0.001 (0.001)	Loss 3.1404 (3.1659)	Top-1 acc 49.023 (47.769)	Top-5 acc 72.266 (72.368)	lr 0.39951
Train [8][800/1251]	Time 0.373 (0.375)	Data 0.001 (0.001)	Loss 3.2684 (3.1642)	Top-1 acc 45.117 (47.792)	Top-5 acc 70.312 (72.392)	lr 0.39948
Train [8][900/1251]	Time 0.367 (0.376)	Data 0.001 (0.001)	Loss 3.1665 (3.1610)	Top-1 acc 47.559 (47.854)	Top-5 acc 70.801 (72.465)	lr 0.39945
Train [8][1000/1251]	Time 0.362 (0.376)	Data 0.001 (0.001)	Loss 3.1638 (3.1585)	Top-1 acc 47.168 (47.902)	Top-5 acc 70.996 (72.501)	lr 0.39942
Train [8][1100/1251]	Time 0.383 (0.376)	Data 0.001 (0.001)	Loss 3.1515 (3.1561)	Top-1 acc 48.828 (47.953)	Top-5 acc 72.754 (72.562)	lr 0.39938
Train [8][1200/1251]	Time 0.376 (0.376)	Data 0.001 (0.001)	Loss 3.0981 (3.1526)	Top-1 acc 50.000 (48.044)	Top-5 acc 75.098 (72.631)	lr 0.39935
Train [8][1251/1251]	Time 0.377 (0.376)	Data 0.002 (0.001)	Loss 3.0586 (3.1512)	Top-1 acc 50.781 (48.076)	Top-5 acc 73.633 (72.656)	lr 0.39933
==========Valid [8/120]	loss 2.231	top-1 acc 50.890 (50.890)	top-5 acc 76.330	Train top-1 48.076	top-5 72.656
Train [9][0/1251]	Time 0.350 (0.350)	Data 0.001 (0.001)	Loss 3.1604 (3.1604)	Top-1 acc 46.582 (46.582)	Top-5 acc 70.996 (70.996)	lr 0.39933
Train [9][100/1251]	Time 0.374 (0.376)	Data 0.001 (0.001)	Loss 3.0350 (3.1191)	Top-1 acc 50.293 (48.695)	Top-5 acc 74.219 (73.167)	lr 0.39929
Train [9][200/1251]	Time 0.370 (0.375)	Data 0.001 (0.001)	Loss 3.1293 (3.1156)	Top-1 acc 48.730 (48.840)	Top-5 acc 72.754 (73.294)	lr 0.39926
Train [9][300/1251]	Time 0.370 (0.375)	Data 0.001 (0.001)	Loss 2.9976 (3.1125)	Top-1 acc 50.293 (48.964)	Top-5 acc 76.270 (73.344)	lr 0.39922
Train [9][400/1251]	Time 0.374 (0.375)	Data 0.001 (0.001)	Loss 3.0662 (3.1105)	Top-1 acc 49.707 (48.969)	Top-5 acc 74.316 (73.399)	lr 0.39918
Train [9][500/1251]	Time 0.378 (0.375)	Data 0.001 (0.001)	Loss 3.0467 (3.1083)	Top-1 acc 49.902 (48.988)	Top-5 acc 76.172 (73.438)	lr 0.39914
Train [9][600/1251]	Time 0.370 (0.375)	Data 0.001 (0.001)	Loss 3.1571 (3.1070)	Top-1 acc 49.219 (49.003)	Top-5 acc 72.656 (73.459)	lr 0.39910
Train [9][700/1251]	Time 0.381 (0.375)	Data 0.001 (0.001)	Loss 3.0591 (3.1035)	Top-1 acc 50.000 (49.080)	Top-5 acc 74.707 (73.518)	lr 0.39906
Train [9][800/1251]	Time 0.371 (0.375)	Data 0.001 (0.001)	Loss 3.0679 (3.1024)	Top-1 acc 48.145 (49.116)	Top-5 acc 74.902 (73.534)	lr 0.39901
Train [9][900/1251]	Time 0.370 (0.375)	Data 0.001 (0.001)	Loss 2.9150 (3.0993)	Top-1 acc 54.395 (49.193)	Top-5 acc 78.223 (73.605)	lr 0.39897
Train [9][1000/1251]	Time 0.373 (0.375)	Data 0.001 (0.001)	Loss 3.0707 (3.0969)	Top-1 acc 50.879 (49.260)	Top-5 acc 73.828 (73.644)	lr 0.39892
Train [9][1100/1251]	Time 0.381 (0.375)	Data 0.001 (0.001)	Loss 3.1813 (3.0952)	Top-1 acc 48.340 (49.296)	Top-5 acc 72.266 (73.682)	lr 0.39888
Train [9][1200/1251]	Time 0.364 (0.375)	Data 0.001 (0.001)	Loss 3.0465 (3.0925)	Top-1 acc 50.586 (49.376)	Top-5 acc 74.707 (73.736)	lr 0.39883
==========Valid [9/120]	loss 2.162	top-1 acc 51.802 (51.802)	top-5 acc 77.218	Train top-1 49.404	top-5 73.760
Train [10][0/1251]	Time 0.454 (0.454)	Data 0.001 (0.001)	Loss 3.0900 (3.0900)	Top-1 acc 50.977 (50.977)	Top-5 acc 73.340 (73.340)	lr 0.39881
Train [10][100/1251]	Time 0.382 (0.376)	Data 0.001 (0.001)	Loss 2.9456 (3.0629)	Top-1 acc 52.051 (50.119)	Top-5 acc 76.758 (74.372)	lr 0.39876
Train [10][200/1251]	Time 0.374 (0.375)	Data 0.001 (0.001)	Loss 3.0299 (3.0647)	Top-1 acc 49.219 (50.084)	Top-5 acc 75.586 (74.327)	lr 0.39871
Train [10][300/1251]	Time 0.374 (0.375)	Data 0.001 (0.001)	Loss 3.0067 (3.0623)	Top-1 acc 50.781 (50.110)	Top-5 acc 76.172 (74.331)	lr 0.39866
Train [10][400/1251]	Time 0.380 (0.377)	Data 0.001 (0.001)	Loss 3.0252 (3.0589)	Top-1 acc 52.246 (50.128)	Top-5 acc 75.000 (74.392)	lr 0.39861
Train [10][500/1251]	Time 0.376 (0.376)	Data 0.001 (0.001)	Loss 3.0358 (3.0584)	Top-1 acc 51.660 (50.154)	Top-5 acc 74.707 (74.408)	lr 0.39856
Train [10][600/1251]	Time 0.376 (0.376)	Data 0.001 (0.001)	Loss 3.0652 (3.0570)	Top-1 acc 51.367 (50.194)	Top-5 acc 73.340 (74.436)	lr 0.39850
Train [10][700/1251]	Time 0.378 (0.376)	Data 0.001 (0.001)	Loss 2.9822 (3.0552)	Top-1 acc 50.977 (50.242)	Top-5 acc 75.391 (74.472)	lr 0.39845
Train [10][800/1251]	Time 0.382 (0.376)	Data 0.001 (0.001)	Loss 3.0034 (3.0536)	Top-1 acc 52.148 (50.274)	Top-5 acc 74.902 (74.491)	lr 0.39840
Train [10][900/1251]	Time 0.366 (0.377)	Data 0.001 (0.001)	Loss 2.9830 (3.0514)	Top-1 acc 51.953 (50.332)	Top-5 acc 76.172 (74.535)	lr 0.39834
Train [10][1000/1251]	Time 0.373 (0.377)	Data 0.001 (0.001)	Loss 3.1007 (3.0493)	Top-1 acc 48.828 (50.380)	Top-5 acc 73.047 (74.570)	lr 0.39828
Train [10][1100/1251]	Time 0.392 (0.377)	Data 0.001 (0.001)	Loss 3.0107 (3.0471)	Top-1 acc 52.734 (50.438)	Top-5 acc 74.219 (74.599)	lr 0.39823
Train [10][1200/1251]	Time 0.366 (0.377)	Data 0.001 (0.001)	Loss 2.9524 (3.0450)	Top-1 acc 52.441 (50.490)	Top-5 acc 76.953 (74.626)	lr 0.39817
==========Valid [10/120]	loss 2.155	top-1 acc 52.106 (52.106)	top-5 acc 77.288	Train top-1 50.505	top-5 74.646
Train [11][0/1251]	Time 0.417 (0.417)	Data 0.001 (0.001)	Loss 3.0433 (3.0433)	Top-1 acc 50.098 (50.098)	Top-5 acc 74.023 (74.023)	lr 0.39814
Train [11][100/1251]	Time 0.366 (0.377)	Data 0.001 (0.001)	Loss 3.0525 (3.0258)	Top-1 acc 50.000 (50.751)	Top-5 acc 73.926 (74.989)	lr 0.39808
Train [11][200/1251]	Time 0.371 (0.377)	Data 0.001 (0.001)	Loss 3.0084 (3.0200)	Top-1 acc 50.586 (50.975)	Top-5 acc 75.781 (75.142)	lr 0.39802
Train [11][300/1251]	Time 0.365 (0.376)	Data 0.001 (0.001)	Loss 3.0979 (3.0174)	Top-1 acc 49.512 (51.013)	Top-5 acc 74.219 (75.184)	lr 0.39795
Train [11][400/1251]	Time 0.375 (0.376)	Data 0.001 (0.001)	Loss 3.0568 (3.0151)	Top-1 acc 50.879 (51.050)	Top-5 acc 73.242 (75.194)	lr 0.39789
