Train [3][1300/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 4.0503 (4.1461)	Top-1 acc 30.273 (27.940)	Top-5 acc 55.469 (51.963)	lr 0.10078
Train [3][1400/2502]	Time 0.384 (0.373)	Data 0.001 (0.001)	Loss 3.9442 (4.1383)	Top-1 acc 30.859 (28.083)	Top-5 acc 54.297 (52.136)	lr 0.10237
Train [3][1500/2502]	Time 0.383 (0.373)	Data 0.001 (0.001)	Loss 4.0082 (4.1291)	Top-1 acc 28.125 (28.257)	Top-5 acc 52.539 (52.321)	lr 0.10397
Train [3][1600/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 3.8797 (4.1184)	Top-1 acc 32.812 (28.448)	Top-5 acc 57.617 (52.552)	lr 0.10557
Train [3][1700/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.8295 (4.1090)	Top-1 acc 37.891 (28.614)	Top-5 acc 60.547 (52.759)	lr 0.10717
Train [3][1800/2502]	Time 0.372 (0.373)	Data 0.001 (0.001)	Loss 3.7395 (4.0983)	Top-1 acc 38.086 (28.824)	Top-5 acc 60.938 (52.997)	lr 0.10877
Train [3][1900/2502]	Time 0.375 (0.373)	Data 0.001 (0.001)	Loss 3.9415 (4.0865)	Top-1 acc 31.445 (29.055)	Top-5 acc 56.836 (53.257)	lr 0.11036
Train [3][2000/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.8148 (4.0760)	Top-1 acc 32.617 (29.239)	Top-5 acc 58.594 (53.492)	lr 0.11196
Train [3][2100/2502]	Time 0.369 (0.373)	Data 0.001 (0.001)	Loss 3.7486 (4.0647)	Top-1 acc 35.742 (29.452)	Top-5 acc 58.398 (53.728)	lr 0.11356
Train [3][2200/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.7425 (4.0544)	Top-1 acc 36.719 (29.649)	Top-5 acc 60.547 (53.950)	lr 0.11516
Train [3][2300/2502]	Time 0.381 (0.373)	Data 0.001 (0.001)	Loss 3.8117 (4.0434)	Top-1 acc 36.133 (29.856)	Top-5 acc 59.570 (54.196)	lr 0.11676
Train [3][2400/2502]	Time 0.371 (0.373)	Data 0.001 (0.001)	Loss 3.8211 (4.0327)	Top-1 acc 33.789 (30.061)	Top-5 acc 59.375 (54.443)	lr 0.11835
Train [3][2500/2502]	Time 0.373 (0.373)	Data 0.001 (0.001)	Loss 3.8204 (4.0221)	Top-1 acc 36.133 (30.265)	Top-5 acc 61.719 (54.675)	lr 0.11995
==========Valid [3/120]	loss 3.026	top-1 acc 35.316 (35.316)	top-5 acc 61.946	Train top-1 30.266	top-5 54.677
Train [4][0/2502]	Time 0.385 (0.385)	Data 0.001 (0.001)	Loss 3.7764 (3.7764)	Top-1 acc 38.672 (38.672)	Top-5 acc 60.352 (60.352)	lr 0.12000
Train [4][100/2502]	Time 0.383 (0.374)	Data 0.001 (0.001)	Loss 3.7604 (3.7471)	Top-1 acc 34.766 (35.551)	Top-5 acc 59.180 (60.551)	lr 0.12160
Train [4][200/2502]	Time 0.372 (0.374)	Data 0.001 (0.001)	Loss 3.6011 (3.7409)	Top-1 acc 38.477 (35.614)	Top-5 acc 63.086 (60.697)	lr 0.12320
Train [4][300/2502]	Time 0.384 (0.374)	Data 0.001 (0.001)	Loss 3.6664 (3.7362)	Top-1 acc 37.109 (35.727)	Top-5 acc 64.844 (60.839)	lr 0.12479
Train [4][400/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.7455 (3.7302)	Top-1 acc 36.133 (35.858)	Top-5 acc 58.203 (61.026)	lr 0.12639
Train [4][500/2502]	Time 0.383 (0.374)	Data 0.001 (0.001)	Loss 3.6431 (3.7232)	Top-1 acc 38.281 (36.013)	Top-5 acc 63.281 (61.166)	lr 0.12799
Train [4][600/2502]	Time 0.372 (0.374)	Data 0.001 (0.001)	Loss 3.5508 (3.7130)	Top-1 acc 35.156 (36.225)	Top-5 acc 65.625 (61.364)	lr 0.12959
Train [4][700/2502]	Time 0.372 (0.374)	Data 0.001 (0.001)	Loss 3.7455 (3.7044)	Top-1 acc 32.812 (36.394)	Top-5 acc 61.133 (61.536)	lr 0.13119
Train [4][800/2502]	Time 0.371 (0.374)	Data 0.001 (0.001)	Loss 3.7225 (3.6996)	Top-1 acc 31.055 (36.468)	Top-5 acc 61.719 (61.638)	lr 0.13278
Train [4][900/2502]	Time 0.369 (0.374)	Data 0.001 (0.001)	Loss 3.4469 (3.6919)	Top-1 acc 41.602 (36.631)	Top-5 acc 66.211 (61.801)	lr 0.13438
