Train [7][0/1251]	Time 0.926 (0.926)	Data 0.004 (0.004)	Loss 2.8726 (2.8726)	Top-1 acc 53.516 (53.516)	Top-5 acc 77.246 (77.246)	lr 0.39826
Train [7][100/1251]	Time 0.497 (0.526)	Data 0.002 (0.002)	Loss 2.9016 (2.8084)	Top-1 acc 54.395 (55.588)	Top-5 acc 76.074 (78.820)	lr 0.39820
Train [7][200/1251]	Time 0.534 (0.533)	Data 0.001 (0.002)	Loss 2.6786 (2.7970)	Top-1 acc 58.496 (55.937)	Top-5 acc 81.543 (79.093)	lr 0.39815
Train [7][300/1251]	Time 0.522 (0.534)	Data 0.001 (0.003)	Loss 2.8862 (2.7919)	Top-1 acc 53.809 (56.058)	Top-5 acc 76.367 (79.148)	lr 0.39809
Train [7][400/1251]	Time 0.870 (0.546)	Data 0.001 (0.016)	Loss 2.8980 (2.7911)	Top-1 acc 54.102 (56.088)	Top-5 acc 76.660 (79.164)	lr 0.39803
Train [7][500/1251]	Time 0.524 (0.546)	Data 0.001 (0.013)	Loss 2.7138 (2.7887)	Top-1 acc 57.227 (56.151)	Top-5 acc 80.957 (79.208)	lr 0.39797
Train [7][600/1251]	Time 0.511 (0.543)	Data 0.001 (0.013)	Loss 2.8868 (2.7866)	Top-1 acc 55.273 (56.193)	Top-5 acc 77.051 (79.258)	lr 0.39791
Train [7][700/1251]	Time 0.562 (0.542)	Data 0.001 (0.011)	Loss 2.7159 (2.7845)	Top-1 acc 56.445 (56.255)	Top-5 acc 80.176 (79.278)	lr 0.39785
Train [7][800/1251]	Time 0.544 (0.541)	Data 0.001 (0.010)	Loss 2.8284 (2.7836)	Top-1 acc 56.445 (56.271)	Top-5 acc 78.613 (79.280)	lr 0.39779
Train [7][900/1251]	Time 0.509 (0.540)	Data 0.001 (0.009)	Loss 2.6611 (2.7815)	Top-1 acc 57.324 (56.328)	Top-5 acc 82.031 (79.321)	lr 0.39772
Train [7][1000/1251]	Time 0.568 (0.539)	Data 0.001 (0.008)	Loss 2.7564 (2.7795)	Top-1 acc 56.445 (56.353)	Top-5 acc 79.883 (79.360)	lr 0.39766
Train [7][1100/1251]	Time 0.521 (0.539)	Data 0.001 (0.008)	Loss 2.7036 (2.7773)	Top-1 acc 58.887 (56.409)	Top-5 acc 81.738 (79.396)	lr 0.39760
Train [7][1200/1251]	Time 0.515 (0.538)	Data 0.001 (0.007)	Loss 2.7483 (2.7750)	Top-1 acc 57.812 (56.462)	Top-5 acc 79.980 (79.447)	lr 0.39753
Train [7][1251/1251]	Time 0.210 (0.537)	Data 0.001 (0.007)	Loss 2.8303 (2.7739)	Top-1 acc 55.972 (56.482)	Top-5 acc 78.294 (79.474)	lr 0.39750
==========Valid [7/120]	loss 2.393	top-1 acc 47.482 (47.482)	top-5 acc 73.504	Train top-1 56.482	top-5 79.474
Train [8][0/1251]	Time 0.538 (0.538)	Data 0.001 (0.001)	Loss 2.8480 (2.8480)	Top-1 acc 54.297 (54.297)	Top-5 acc 78.125 (78.125)	lr 0.39750
Train [8][100/1251]	Time 0.513 (0.530)	Data 0.001 (0.005)	Loss 2.6855 (2.7707)	Top-1 acc 59.082 (56.411)	Top-5 acc 80.859 (79.540)	lr 0.39743
Train [8][200/1251]	Time 0.514 (0.547)	Data 0.001 (0.024)	Loss 2.6396 (2.7565)	Top-1 acc 59.961 (56.829)	Top-5 acc 82.715 (79.859)	lr 0.39736
Train [8][300/1251]	Time 0.545 (0.541)	Data 0.001 (0.016)	Loss 2.7648 (2.7519)	Top-1 acc 58.301 (56.981)	Top-5 acc 79.395 (79.920)	lr 0.39729
Train [8][400/1251]	Time 0.530 (0.537)	Data 0.001 (0.013)	Loss 2.7270 (2.7494)	Top-1 acc 57.520 (57.021)	Top-5 acc 80.176 (79.977)	lr 0.39722
Train [8][500/1251]	Time 0.530 (0.535)	Data 0.004 (0.010)	Loss 2.7268 (2.7455)	Top-1 acc 57.324 (57.117)	Top-5 acc 79.004 (80.030)	lr 0.39715
Train [8][600/1251]	Time 0.544 (0.534)	Data 0.002 (0.009)	Loss 2.7810 (2.7439)	Top-1 acc 55.957 (57.153)	Top-5 acc 78.711 (80.077)	lr 0.39708
Train [8][700/1251]	Time 0.542 (0.534)	Data 0.001 (0.008)	Loss 2.7284 (2.7417)	Top-1 acc 57.227 (57.227)	Top-5 acc 80.762 (80.103)	lr 0.39701
Train [8][800/1251]	Time 0.578 (0.534)	Data 0.001 (0.007)	Loss 2.8543 (2.7406)	Top-1 acc 53.906 (57.239)	Top-5 acc 79.199 (80.107)	lr 0.39694
Train [8][900/1251]	Time 0.541 (0.533)	Data 0.001 (0.006)	Loss 2.7783 (2.7385)	Top-1 acc 56.348 (57.307)	Top-5 acc 78.125 (80.142)	lr 0.39686
Train [8][1000/1251]	Time 0.523 (0.533)	Data 0.001 (0.006)	Loss 2.7031 (2.7372)	Top-1 acc 57.422 (57.340)	Top-5 acc 78.906 (80.153)	lr 0.39679
Train [8][1100/1251]	Time 0.549 (0.532)	Data 0.001 (0.006)	Loss 2.6816 (2.7359)	Top-1 acc 58.203 (57.378)	Top-5 acc 81.055 (80.171)	lr 0.39671
Train [8][1200/1251]	Time 0.516 (0.532)	Data 0.001 (0.005)	Loss 2.6444 (2.7338)	Top-1 acc 59.570 (57.430)	Top-5 acc 82.324 (80.208)	lr 0.39663
Train [8][1251/1251]	Time 0.178 (0.532)	Data 0.001 (0.005)	Loss 2.5143 (2.7331)	Top-1 acc 60.754 (57.441)	Top-5 acc 83.889 (80.223)	lr 0.39660
==========Valid [8/120]	loss 2.280	top-1 acc 50.102 (50.102)	top-5 acc 75.074	Train top-1 57.441	top-5 80.223
Train [9][0/1251]	Time 0.527 (0.527)	Data 0.001 (0.001)	Loss 2.7532 (2.7532)	Top-1 acc 59.277 (59.277)	Top-5 acc 79.688 (79.688)	lr 0.39659
Train [9][100/1251]	Time 0.562 (0.530)	Data 0.001 (0.001)	Loss 2.8007 (2.7293)	Top-1 acc 56.348 (57.432)	Top-5 acc 78.906 (80.351)	lr 0.39652
Train [9][200/1251]	Time 0.510 (0.530)	Data 0.001 (0.001)	Loss 2.7513 (2.7220)	Top-1 acc 55.957 (57.692)	Top-5 acc 80.469 (80.435)	lr 0.39644
Train [9][300/1251]	Time 0.558 (0.529)	Data 0.001 (0.001)	Loss 2.7687 (2.7181)	Top-1 acc 56.348 (57.769)	Top-5 acc 81.152 (80.460)	lr 0.39636
Train [9][400/1251]	Time 0.569 (0.529)	Data 0.001 (0.001)	Loss 2.7048 (2.7146)	Top-1 acc 57.129 (57.814)	Top-5 acc 79.492 (80.500)	lr 0.39628
Train [9][500/1251]	Time 0.512 (0.530)	Data 0.001 (0.001)	Loss 2.6164 (2.7120)	Top-1 acc 60.645 (57.887)	Top-5 acc 82.031 (80.550)	lr 0.39620
Train [9][600/1251]	Time 0.559 (0.530)	Data 0.001 (0.001)	Loss 2.7505 (2.7106)	Top-1 acc 57.227 (57.945)	Top-5 acc 80.371 (80.578)	lr 0.39611
Train [9][700/1251]	Time 0.558 (0.529)	Data 0.001 (0.001)	Loss 2.6889 (2.7084)	Top-1 acc 57.715 (58.002)	Top-5 acc 83.008 (80.626)	lr 0.39603
Train [9][800/1251]	Time 0.521 (0.530)	Data 0.001 (0.001)	Loss 2.7792 (2.7068)	Top-1 acc 54.883 (58.008)	Top-5 acc 79.102 (80.659)	lr 0.39595
Train [9][900/1251]	Time 0.553 (0.530)	Data 0.001 (0.001)	Loss 2.6882 (2.7047)	Top-1 acc 58.301 (58.053)	Top-5 acc 80.176 (80.699)	lr 0.39586
Train [9][1000/1251]	Time 0.515 (0.530)	Data 0.001 (0.001)	Loss 2.6467 (2.7040)	Top-1 acc 58.789 (58.073)	Top-5 acc 82.227 (80.696)	lr 0.39578
Train [9][1100/1251]	Time 0.557 (0.530)	Data 0.001 (0.001)	Loss 2.6303 (2.7027)	Top-1 acc 57.520 (58.102)	Top-5 acc 82.324 (80.711)	lr 0.39569
