Train [5][800/2502]	Time 0.205 (0.228)	Data 0.038 (0.064)	Loss 3.7202 (3.8347)	Top-1 acc 38.086 (35.244)	Top-5 acc 62.109 (59.400)	lr 0.19991
Train [5][900/2502]	Time 0.167 (0.225)	Data 0.001 (0.060)	Loss 3.8291 (3.8331)	Top-1 acc 36.914 (35.254)	Top-5 acc 59.570 (59.441)	lr 0.19991
Train [5][1000/2502]	Time 0.161 (0.221)	Data 0.001 (0.055)	Loss 3.8050 (3.8317)	Top-1 acc 35.156 (35.279)	Top-5 acc 58.008 (59.469)	lr 0.19991
Train [5][1100/2502]	Time 0.132 (0.218)	Data 0.001 (0.050)	Loss 3.9686 (3.8306)	Top-1 acc 32.227 (35.338)	Top-5 acc 58.203 (59.488)	lr 0.19991
Train [5][1200/2502]	Time 0.185 (0.215)	Data 0.001 (0.047)	Loss 3.8638 (3.8282)	Top-1 acc 35.547 (35.382)	Top-5 acc 59.766 (59.530)	lr 0.19990
Train [5][1300/2502]	Time 0.127 (0.212)	Data 0.001 (0.043)	Loss 3.7216 (3.8266)	Top-1 acc 37.109 (35.392)	Top-5 acc 61.523 (59.565)	lr 0.19990
Train [5][1400/2502]	Time 0.167 (0.210)	Data 0.001 (0.043)	Loss 3.7835 (3.8251)	Top-1 acc 37.695 (35.417)	Top-5 acc 60.938 (59.605)	lr 0.19990
Train [5][1500/2502]	Time 0.202 (0.207)	Data 0.001 (0.040)	Loss 3.7417 (3.8233)	Top-1 acc 33.984 (35.446)	Top-5 acc 62.500 (59.654)	lr 0.19990
Train [5][1600/2502]	Time 0.124 (0.205)	Data 0.001 (0.039)	Loss 3.8565 (3.8206)	Top-1 acc 35.742 (35.501)	Top-5 acc 57.227 (59.726)	lr 0.19989
Train [5][1700/2502]	Time 0.142 (0.203)	Data 0.001 (0.037)	Loss 3.7064 (3.8192)	Top-1 acc 39.844 (35.529)	Top-5 acc 63.477 (59.756)	lr 0.19989
Train [5][1800/2502]	Time 0.137 (0.202)	Data 0.001 (0.035)	Loss 3.6932 (3.8168)	Top-1 acc 37.891 (35.581)	Top-5 acc 61.328 (59.805)	lr 0.19989
Train [5][1900/2502]	Time 0.130 (0.200)	Data 0.001 (0.033)	Loss 3.7842 (3.8152)	Top-1 acc 38.086 (35.607)	Top-5 acc 61.133 (59.845)	lr 0.19989
Train [5][2000/2502]	Time 0.182 (0.199)	Data 0.043 (0.031)	Loss 3.6843 (3.8138)	Top-1 acc 38.477 (35.645)	Top-5 acc 62.500 (59.869)	lr 0.19989
Train [5][2100/2502]	Time 0.187 (0.198)	Data 0.001 (0.030)	Loss 3.8605 (3.8118)	Top-1 acc 33.398 (35.679)	Top-5 acc 59.180 (59.906)	lr 0.19988
Train [5][2200/2502]	Time 0.200 (0.197)	Data 0.026 (0.030)	Loss 3.8746 (3.8095)	Top-1 acc 36.328 (35.734)	Top-5 acc 59.180 (59.960)	lr 0.19988
Train [5][2300/2502]	Time 0.177 (0.196)	Data 0.001 (0.029)	Loss 3.8803 (3.8079)	Top-1 acc 37.109 (35.775)	Top-5 acc 57.227 (59.986)	lr 0.19988
Train [5][2400/2502]	Time 0.407 (0.195)	Data 0.001 (0.028)	Loss 3.7841 (3.8060)	Top-1 acc 35.547 (35.820)	Top-5 acc 61.133 (60.033)	lr 0.19988
Train [5][2500/2502]	Time 0.183 (0.194)	Data 0.001 (0.027)	Loss 3.7329 (3.8041)	Top-1 acc 37.305 (35.859)	Top-5 acc 60.742 (60.069)	lr 0.19987
Train [5][2502/2502]	Time 0.129 (0.194)	Data 0.001 (0.027)	Loss 3.7782 (3.8041)	Top-1 acc 37.079 (35.859)	Top-5 acc 62.911 (60.069)	lr 0.19987
==========Valid [5/250]	loss 3.270	top-1 acc 33.244 (33.244)	top-5 acc 58.700	Train top-1 35.859	top-5 60.069
Train [6][0/2502]	Time 0.241 (0.241)	Data 0.001 (0.001)	Loss 3.7626 (3.7626)	Top-1 acc 34.375 (34.375)	Top-5 acc 63.281 (63.281)	lr 0.19987
Train [6][100/2502]	Time 0.184 (0.188)	Data 0.001 (0.009)	Loss 3.7449 (3.7634)	Top-1 acc 40.039 (36.587)	Top-5 acc 63.281 (61.013)	lr 0.19987
Train [6][200/2502]	Time 0.190 (0.185)	Data 0.001 (0.005)	Loss 3.7967 (3.7642)	Top-1 acc 36.328 (36.569)	Top-5 acc 60.156 (60.920)	lr 0.19987
Train [6][300/2502]	Time 0.129 (0.181)	Data 0.001 (0.005)	Loss 3.7079 (3.7564)	Top-1 acc 38.867 (36.871)	Top-5 acc 61.719 (61.082)	lr 0.19986
Train [6][400/2502]	Time 0.153 (0.177)	Data 0.001 (0.007)	Loss 3.8319 (3.7552)	Top-1 acc 35.352 (36.871)	Top-5 acc 60.352 (61.128)	lr 0.19986
