Train [6][1000/1251]	Time 0.315 (0.348)	Data 0.001 (0.002)	Loss 3.1144 (3.0785)	Top-1 acc 48.828 (49.879)	Top-5 acc 72.559 (74.060)	lr 0.39963
Train [6][1100/1251]	Time 0.358 (0.348)	Data 0.002 (0.002)	Loss 3.0765 (3.0761)	Top-1 acc 50.879 (49.940)	Top-5 acc 74.219 (74.109)	lr 0.39962
Train [6][1200/1251]	Time 0.343 (0.348)	Data 0.001 (0.002)	Loss 3.0281 (3.0731)	Top-1 acc 50.781 (49.982)	Top-5 acc 75.098 (74.180)	lr 0.39961
Train [6][1251/1251]	Time 0.183 (0.348)	Data 0.001 (0.002)	Loss 2.9605 (3.0716)	Top-1 acc 55.278 (50.018)	Top-5 acc 78.393 (74.200)	lr 0.39960
==========Valid [6/250]	loss 2.419	top-1 acc 47.066 (49.610)	top-5 acc 73.296	Train top-1 50.018	top-5 74.200
Train [7][0/1251]	Time 0.332 (0.332)	Data 0.002 (0.002)	Loss 3.0916 (3.0916)	Top-1 acc 49.902 (49.902)	Top-5 acc 74.121 (74.121)	lr 0.39960
Train [7][100/1251]	Time 0.329 (0.352)	Data 0.001 (0.001)	Loss 3.1608 (3.0575)	Top-1 acc 48.145 (50.439)	Top-5 acc 71.680 (74.469)	lr 0.39959
Train [7][200/1251]	Time 0.314 (0.351)	Data 0.001 (0.001)	Loss 2.9428 (3.0451)	Top-1 acc 51.855 (50.718)	Top-5 acc 75.977 (74.696)	lr 0.39958
Train [7][300/1251]	Time 0.350 (0.350)	Data 0.001 (0.001)	Loss 3.1051 (3.0412)	Top-1 acc 48.242 (50.737)	Top-5 acc 73.242 (74.750)	lr 0.39956
Train [7][400/1251]	Time 0.331 (0.349)	Data 0.001 (0.001)	Loss 3.1504 (3.0387)	Top-1 acc 48.242 (50.814)	Top-5 acc 73.535 (74.823)	lr 0.39955
Train [7][500/1251]	Time 0.326 (0.349)	Data 0.001 (0.002)	Loss 2.9575 (3.0377)	Top-1 acc 51.465 (50.790)	Top-5 acc 76.758 (74.853)	lr 0.39954
Train [7][600/1251]	Time 0.354 (0.349)	Data 0.001 (0.002)	Loss 3.1017 (3.0360)	Top-1 acc 49.512 (50.806)	Top-5 acc 73.828 (74.899)	lr 0.39952
Train [7][700/1251]	Time 0.374 (0.350)	Data 0.001 (0.001)	Loss 3.0166 (3.0339)	Top-1 acc 49.902 (50.856)	Top-5 acc 75.391 (74.934)	lr 0.39951
Train [7][800/1251]	Time 0.320 (0.350)	Data 0.001 (0.001)	Loss 3.1091 (3.0329)	Top-1 acc 48.730 (50.873)	Top-5 acc 73.438 (74.943)	lr 0.39949
Train [7][900/1251]	Time 0.319 (0.350)	Data 0.001 (0.001)	Loss 2.9563 (3.0312)	Top-1 acc 52.051 (50.914)	Top-5 acc 76.953 (74.977)	lr 0.39948
Train [7][1000/1251]	Time 0.326 (0.350)	Data 0.001 (0.001)	Loss 3.0299 (3.0292)	Top-1 acc 51.758 (50.959)	Top-5 acc 74.316 (75.017)	lr 0.39946
Train [7][1100/1251]	Time 0.373 (0.349)	Data 0.001 (0.001)	Loss 2.9302 (3.0278)	Top-1 acc 53.906 (51.002)	Top-5 acc 77.246 (75.026)	lr 0.39945
Train [7][1200/1251]	Time 0.333 (0.349)	Data 0.002 (0.001)	Loss 3.0463 (3.0258)	Top-1 acc 50.781 (51.037)	Top-5 acc 74.219 (75.049)	lr 0.39944
Train [7][1251/1251]	Time 0.124 (0.349)	Data 0.001 (0.001)	Loss 3.0477 (3.0249)	Top-1 acc 49.603 (51.059)	Top-5 acc 74.821 (75.062)	lr 0.39943
==========Valid [7/250]	loss 2.456	top-1 acc 47.352 (49.610)	top-5 acc 73.136	Train top-1 51.059	top-5 75.062
